Event ID   , Event time          , Desc ID   ,                                             Description, Object ID , Details
227        , 400120913.003269    , 76        ,       The causal link is in the process of being added., 0         , (647;273)
228        , 400120913.019804    , 76        ,       The causal link is in the process of being added., 0         , (652;270)
229        , 400120913.035622    , 76        ,       The causal link is in the process of being added., 0         , (655;268)
230        , 400120913.051973    , 76        ,       The causal link is in the process of being added., 0         , (658;265)
231        , 400120913.068489    , 76        ,       The causal link is in the process of being added., 0         , (661;263)
232        , 400120913.084051    , 76        ,       The causal link is in the process of being added., 0         , (663;261)
233        , 400120913.099925    , 76        ,       The causal link is in the process of being added., 0         , (665;260)
234        , 400120913.116304    , 76        ,       The causal link is in the process of being added., 0         , (667;259)
235        , 400120913.147543    , 76        ,       The causal link is in the process of being added., 0         , (667;258)
236        , 400120913.179562    , 76        ,       The causal link is in the process of being added., 0         , (667;257)
237        , 400120913.307839    , 76        ,       The causal link is in the process of being added., 0         , (668;257)
238        , 400120913.323503    , 76        ,       The causal link is in the process of being added., 0         , (669;255)
239        , 400120913.339556    , 76        ,       The causal link is in the process of being added., 0         , (672;251)
240        , 400120913.356017    , 76        ,       The causal link is in the process of being added., 0         , (675;246)
241        , 400120913.371183    , 76        ,       The causal link is in the process of being added., 0         , (679;240)
242        , 400120913.387185    , 76        ,       The causal link is in the process of being added., 0         , (682;235)
243        , 400120913.403531    , 76        ,       The causal link is in the process of being added., 0         , (686;231)
244        , 400120913.419474    , 76        ,       The causal link is in the process of being added., 0         , (688;226)
245        , 400120913.435543    , 76        ,       The causal link is in the process of being added., 0         , (691;223)
246        , 400120913.452203    , 76        ,       The causal link is in the process of being added., 0         , (693;221)
247        , 400120913.468194    , 76        ,       The causal link is in the process of being added., 0         , (694;220)
248        , 400120913.483891    , 76        ,       The causal link is in the process of being added., 0         , (694;219)
249        , 400120913.547743    , 76        ,       The causal link is in the process of being added., 0         , (693;220)
250        , 400120913.563207    , 76        ,       The causal link is in the process of being added., 0         , (692;221)
251        , 400120913.579364    , 76        ,       The causal link is in the process of being added., 0         , (691;221)
252        , 400120913.595825    , 76        ,       The causal link is in the process of being added., 0         , (691;222)
253        , 400120913.611356    , 76        ,       The causal link is in the process of being added., 0         , (691;223)
254        , 400120913.627347    , 76        ,       The causal link is in the process of being added., 0         , (690;224)
255        , 400120913.643822    , 76        ,       The causal link is in the process of being added., 0         , (690;225)
256        , 400120913.659337    , 76        ,       The causal link is in the process of being added., 0         , (689;225)
257        , 400120913.675373    , 76        ,       The causal link is in the process of being added., 0         , (689;226)
258        , 400120913.803011    , 76        ,       The causal link is in the process of being added., 0         , (689;227)
259        , 400120913.819002    , 76        ,       The causal link is in the process of being added., 0         , (689;228)
260        , 400120913.8356      , 76        ,       The causal link is in the process of being added., 0         , (689;231)
261        , 400120913.851763    , 76        ,       The causal link is in the process of being added., 0         , (689;234)
262        , 400120913.867742    , 76        ,       The causal link is in the process of being added., 0         , (689;242)
263        , 400120913.884332    , 76        ,       The causal link is in the process of being added., 0         , (689;253)
264        , 400120913.899715    , 76        ,       The causal link is in the process of being added., 0         , (689;266)
265        , 400120913.915737    , 76        ,       The causal link is in the process of being added., 0         , (689;276)
266        , 400120913.931909    , 76        ,       The causal link is in the process of being added., 0         , (688;282)
267        , 400120913.947187    , 76        ,       The causal link is in the process of being added., 0         , (688;285)
268        , 400120913.963206    , 76        ,       The causal link is in the process of being added., 0         , (688;288)
269        , 400120913.979874    , 76        ,       The causal link is in the process of being added., 0         , (688;289)
270        , 400120914.107348    , 76        ,       The causal link is in the process of being added., 0         , (687;289)
271        , 400120914.123804    , 78        ,                User cancelled adding a new causal link., 0         , 
272        , 400120914.589241    , 79        ,                           User began moving a variable., 2         , (410;231)
273        , 400120914.84017     , 75        ,              User has begun creating a new causal link., 0         , (410;231)
274        , 400120915.146924    , 76        ,       The causal link is in the process of being added., 0         , (413;238)
275        , 400120915.147368    , 76        ,       The causal link is in the process of being added., 0         , (413;238)
276        , 400120915.162644    , 76        ,       The causal link is in the process of being added., 0         , (414;244)
277        , 400120915.179397    , 76        ,       The causal link is in the process of being added., 0         , (418;252)
278        , 400120915.194843    , 76        ,       The causal link is in the process of being added., 0         , (424;260)
279        , 400120915.210932    , 76        ,       The causal link is in the process of being added., 0         , (431;267)
280        , 400120915.227252    , 76        ,       The causal link is in the process of being added., 0         , (438;274)
281        , 400120915.242837    , 76        ,       The causal link is in the process of being added., 0         , (448;279)
282        , 400120915.258829    , 76        ,       The causal link is in the process of being added., 0         , (457;284)
283        , 400120915.275255    , 76        ,       The causal link is in the process of being added., 0         , (466;288)
284        , 400120915.290798    , 76        ,       The causal link is in the process of being added., 0         , (478;291)
285        , 400120915.306798    , 76        ,       The causal link is in the process of being added., 0         , (497;295)
286        , 400120915.323239    , 76        ,       The causal link is in the process of being added., 0         , (510;296)
287        , 400120915.339056    , 76        ,       The causal link is in the process of being added., 0         , (522;296)
288        , 400120915.354378    , 76        ,       The causal link is in the process of being added., 0         , (534;296)
289        , 400120915.370952    , 76        ,       The causal link is in the process of being added., 0         , (544;292)
290        , 400120915.386506    , 76        ,       The causal link is in the process of being added., 0         , (554;288)
291        , 400120915.402801    , 76        ,       The causal link is in the process of being added., 0         , (567;282)
292        , 400120915.419161    , 76        ,       The causal link is in the process of being added., 0         , (579;277)
293        , 400120915.435336    , 76        ,       The causal link is in the process of being added., 0         , (594;270)
294        , 400120915.451576    , 76        ,       The causal link is in the process of being added., 0         , (604;266)
295        , 400120915.467723    , 76        ,       The causal link is in the process of being added., 0         , (616;261)
296        , 400120915.483111    , 76        ,       The causal link is in the process of being added., 0         , (627;257)
297        , 400120915.499135    , 76        ,       The causal link is in the process of being added., 0         , (637;253)
298        , 400120915.515617    , 76        ,       The causal link is in the process of being added., 0         , (646;249)
299        , 400120915.530606    , 76        ,       The causal link is in the process of being added., 0         , (655;245)
300        , 400120915.546796    , 76        ,       The causal link is in the process of being added., 0         , (664;241)
301        , 400120915.563187    , 76        ,       The causal link is in the process of being added., 0         , (672;236)
302        , 400120915.579157    , 76        ,       The causal link is in the process of being added., 0         , (678;232)
303        , 400120915.59474     , 76        ,       The causal link is in the process of being added., 0         , (683;228)
304        , 400120915.611155    , 76        ,       The causal link is in the process of being added., 0         , (688;225)
305        , 400120915.626679    , 76        ,       The causal link is in the process of being added., 0         , (692;221)
306        , 400120915.642667    , 76        ,       The causal link is in the process of being added., 0         , (696;220)
307        , 400120915.659153    , 76        ,       The causal link is in the process of being added., 0         , (698;218)
308        , 400120915.674687    , 76        ,       The causal link is in the process of being added., 0         , (700;217)
309        , 400120915.69081     , 76        ,       The causal link is in the process of being added., 0         , (701;217)
310        , 400120915.738596    , 76        ,       The causal link is in the process of being added., 0         , (700;217)
311        , 400120915.754817    , 77        ,                                      Causal link added., 7         , Parent: Var1 (2) Child: Var2 (3) | 
312        , 400120916.172788    , 15        ,                        User began moving a causal link., 7         , (571;218)
313        , 400120916.250789    , 16        ,                           User is moving a causal link., 7         , (571;222)
314        , 400120916.267331    , 16        ,                           User is moving a causal link., 7         , (571;227)
315        , 400120916.283886    , 16        ,                           User is moving a causal link., 7         , (572;232)
316        , 400120916.299385    , 16        ,                           User is moving a causal link., 7         , (572;237)
317        , 400120916.315437    , 16        ,                           User is moving a causal link., 7         , (572;241)
318        , 400120916.331143    , 16        ,                           User is moving a causal link., 7         , (573;246)
319        , 400120916.346477    , 16        ,                           User is moving a causal link., 7         , (573;251)
320        , 400120916.362523    , 16        ,                           User is moving a causal link., 7         , (573;256)
321        , 400120916.379055    , 16        ,                           User is moving a causal link., 7         , (574;260)
322        , 400120916.394566    , 16        ,                           User is moving a causal link., 7         , (574;265)
323        , 400120916.410481    , 16        ,                           User is moving a causal link., 7         , (574;270)
324        , 400120916.42699     , 16        ,                           User is moving a causal link., 7         , (575;275)
325        , 400120916.442507    , 16        ,                           User is moving a causal link., 7         , (575;279)
326        , 400120916.458494    , 16        ,                           User is moving a causal link., 7         , (575;284)
327        , 400120916.475052    , 16        ,                           User is moving a causal link., 7         , (576;289)
328        , 400120916.490567    , 16        ,                           User is moving a causal link., 7         , (576;294)
329        , 400120916.506829    , 16        ,                           User is moving a causal link., 7         , (576;298)
330        , 400120916.523037    , 16        ,                           User is moving a causal link., 7         , (577;303)
331        , 400120916.538597    , 16        ,                           User is moving a causal link., 7         , (577;308)
332        , 400120916.554016    , 16        ,                           User is moving a causal link., 7         , (577;313)
333        , 400120916.570303    , 16        ,                           User is moving a causal link., 7         , (578;317)
334        , 400120916.586335    , 16        ,                           User is moving a causal link., 7         , (578;322)
335        , 400120916.602335    , 16        ,                           User is moving a causal link., 7         , (578;327)
336        , 400120916.619215    , 16        ,                           User is moving a causal link., 7         , (579;332)
337        , 400120916.635487    , 16        ,                           User is moving a causal link., 7         , (579;336)
338        , 400120916.666698    , 17        ,                      User stopped moving a causal link., 7         , (579;336)
339        , 400120916.844108    , 15        ,                        User began moving a causal link., 7         , (579;336)
340        , 400120916.930171    , 58        ,                                  Update menu displayed., 7         , Causal link
341        , 400120917.586529    , 60        ,                                    Edit menu displayed., 7         , Causal link
342        , 400120917.816698    , 59        ,                                     Update menu closed., 7         , Causal link
343        , 400120918.301349    , 13        ,       User selected a new option for the link polarity., 7         , - selected
344        , 400120918.908606    , 11        ,     User selected a new option for the link time delay., 7         , Yes
345        , 400120920.732069    , 12        ,      User selected a new option for the link thickness., 7         , Bold selected
346        , 400120922.251557    , 14        ,          User selected a new option for the link color., 7         , Orange selected
347        , 400120922.792428    , 8         ,             User changed the polarity of a causal link., 7         , From: + To: -
348        , 400120922.792529    , 9         ,            User changed the thickness of a causal link., 7         , From: Normal To: Bold
